,Tweets,clean_tweet,polarity,subjectivity,,Product,,,
17-03-2020 05:01,b'Need Wifi? Sparklight offers free hotspot https://t.co/kbFtbbhieJ',Need Wifi Sparklight offers free hotspot https kbFtbbhieJ,0.25,0.466666667,,0.116666667,,,
17-03-2020 04:46,b'Texas Cable Association says it is working to provide members with high-speed broadband. The organization stated th\xe2\x80\xa6 https://t.co/cm3fd7VaR1',Texas Cable Association says working provide members with high speed broadband organization stated https,0.4,0.7,,0.28,,,
18-03-2020 05:36,"b'RT @GraysonCollege: @sparklight has signed the pledge, which includes opening WiFi Hot Spots in their parking lot. Residential customers wi\xe2\x80\xa6'",signed pledge which includes opening WiFi Spots their parking Residential customers,0,0,,0,,,
18-03-2020 02:46,b'Sparklight is grateful to health care professionals and first responders for all they do to keep our communities sa\xe2\x80\xa6 https://t.co/uDAOYPjQ4J',Sparklight grateful health care professionals first responders they keep communities https uDAOYPjQ,0.05,0.5,,0.025,,,
18-03-2020 01:51,"b'RT @thebauminator: More US cable op response -- Cable One/Sparklight announced Friday it has suspended data caps for 30 days, waived late f\xe2\x80\xa6'",More cable response Cable Sparklight announced Friday suspended data caps days waived late,0.05,0.5,,0.025,,,
18-03-2020 01:20,b'RT @TedatACA: \xe2\x80\x9cWe live and work in the communities we serve &amp; these are our friends and neighbors impacted by effects of the coronavirus (C\xe2\x80\xa6',live work communities serve these friends neighbors impacted effects coronavirus,0.175,0.291666667,,0.051041667,,,
17-03-2020 23:56,"b'@sparklightcares In addition, Sparklight is making WiFi Internet access available for free at their office at 7501\xe2\x80\xa6 https://t.co/8ZNZ85Yz7i'",addition Sparklight making WiFi Internet access available free their office https,0,0,,0,,,
17-03-2020 23:55,"b'SEA partner, @sparklightcares is now providing unlimited data on all internet services for the next 30 days &amp; waivi\xe2\x80\xa6 https://t.co/RhHHum8OWm'",partner providing unlimited data internet services next days waivi https RhHHum,0.05,0.5,,0.025,,,
17-03-2020 23:45,"b""RT @thepanolian: Free WiFi behind Flint's Hardware\nhttps://t.co/4kBgyBdsyy""",Free WiFi behind Flint Hardware nhttps kBgyBdsyy,0,0,,0,,,
17-03-2020 23:41,b'@dumpsterfresh Idk who your internet service provider is but sparklight (cableone) announces they\xe2\x80\x99re not charging l\xe2\x80\xa6 https://t.co/MMl6WnZGPm',your internet service provider sparklight cableone announces they charging https WnZGPm,0,0,,0,,,
17-03-2020 22:31,"b""Free WiFi behind Flint's Hardware\nhttps://t.co/4kBgyBdsyy""",Free WiFi behind Flint Hardware nhttps kBgyBdsyy,1,1,,1,,,
17-03-2020 21:28,b'FYI: Sparklight is offering WiFi hotspots in Columbus.  The company said the hotspot can be accessed from Sparkligh\xe2\x80\xa6 https://t.co/RUtuglg3bV',Sparklight offering WiFi hotspots Columbus company said hotspot accessed from Sparkligh https RUtuglg,0,0,,0,,,
17-03-2020 21:14,b'#sparklight should give us movie channels for free while we all have to stay in during this.',sparklight should give movie channels free while have stay during this,0.4,0.4,,0.16,,,
17-03-2020 20:28,"b'@sparklight has signed the pledge, which includes opening WiFi Hot Spots in their parking lot. Residential customer\xe2\x80\xa6 https://t.co/ZMwcsEYhok'",signed pledge which includes opening WiFi Spots their parking Residential customer https ZMwcsEYhok,0,0,,0,,,
17-03-2020 20:25,"b""The company said the hotspot can be accessed from Sparklight's parking lot at 319 College Street. An additional hot\xe2\x80\xa6 https://t.co/ASDs7TCMTS""",company said hotspot accessed from Sparklight parking College Street additional https ASDs TCMTS,0,0,,0,,,
17-03-2020 19:10,b'RT @TedatACA: \xe2\x80\x9cWe live and work in the communities we serve &amp; these are our friends and neighbors impacted by effects of the coronavirus (C\xe2\x80\xa6',live work communities serve these friends neighbors impacted effects coronavirus,0.25,0.466666667,,0.116666667,,,
17-03-2020 18:56,b'RT @TedatACA: \xe2\x80\x9cWe live and work in the communities we serve &amp; these are our friends and neighbors impacted by effects of the coronavirus (C\xe2\x80\xa6',live work communities serve these friends neighbors impacted effects coronavirus,0.4,0.7,,0.28,,,
14-03-2020 02:08,b'@CableOne @sparklight @ATT @Uverse Thank you @sparklightcares !',Thank cares,0,0,,0,,,
13-03-2020 20:52,b'@jfdahl0 @sparklight @ATT @Uverse Hi John. Yes! Sparklight is making Unlimited Data available on all Internet plans\xe2\x80\xa6 https://t.co/WUbnSnA3X9',John Sparklight making Unlimited Data available Internet plans https WUbnSnA,0.05,0.5,,0.025,,,
13-03-2020 20:38,b'@anitakissee @sparklight Hi Anita.  Sparklight is making Unlimited Data available on all Internet plans and waiving\xe2\x80\xa6 https://t.co/Pu5WLXrOBl',Anita Sparklight making Unlimited Data available Internet plans waiving https WLXrOBl,0.05,0.5,,0.025,,,
13-03-2020 18:40,b'Hey @sparklight... are you going to follow suit on this? Our download speeds have been awful and now we\xe2\x80\x99re worried\xe2\x80\xa6 https://t.co/3NaHZotl3q',going follow suit this download speeds have been awful worried https NaHZotl,0.175,0.291666667,,0.051041667,,,
19-03-2020 02:30,"b""RT @WCBINEWS: The company said the hotspot can be accessed from Sparklight's parking lot at 319 College Street. An additional hotspot will\xe2\x80\xa6""",company said hotspot accessed from Sparklight parking College Street additional hotspot will,0,0,,0,,,
19-03-2020 02:29,"b'@sera_kovacs @randydickersn @PaMaureen @kurteichenwald @ATT @ATTHelp Yep.   I was going to college online, so I cou\xe2\x80\xa6 https://t.co/oegVzAIbBc'",Help going college online https oegVzAIbBc,0.05,0.5,,0.025,,,
19-03-2020 02:22,b'So tonight MSNBC goes off the air during Rachel. CNN goes off but Fox is coming in. Coincidence? Not buying it. So\xe2\x80\xa6 https://t.co/hag84vdvU7',tonight MSNBC goes during Rachel goes coming Coincidence buying https vdvU,0,0,,0,,,
18-03-2020 22:54,"b'RT @texascable: Our #cable members @AlticeUSA, @comcast, @GetSpectrum &amp; @sparklight were among the 1st to sign the @FCC Connectivity for Am\xe2\x80\xa6'",cable members were among sign Connectivity,0,0,,0,,,
